"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"297";"04/12/2023";"9";"9";"Tafalla";"Tafalla";"Polig Fuente del Rey, 11. Junto a Eroski";"Marco Apesteguia, Cristina";"F00601";"948 704137"
"298";"04/12/2023";"9";"9";"Urdazubi / Urdax";"Elizondo";"C/ Barrio Dancharinea, 14";"Altamirano Veron, Hilda Valle";"F00249";"948 599190"
"299";"04/12/2023";"9";"9";"Valtierra";"Valtierra-Cadreita - Castejón";"Pl de los Derechos Humanos, 3";"Saez de Jauregui Urdanoz, Pedro";"F00507";"948 843224"
"300";"05/12/2023";"9";"22";"Aribe";"Aoiz - Auritz/Burguete";"C/ Santa María, 24";"De Carlos Iriarte, Maria Carmen";"F00273";"948 764209"
"301";"05/12/2023";"10";"21";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"302";"05/12/2023";"10";"21";"Cordovilla";"Pamplona y comarca";"Bº La Morea, s/n. C.Comercial Leclerc";"Aranguren Letamendia, Emilia";"F00311";"948 152626"
"303";"05/12/2023";"9";"21";"Estella-Lizarra";"Estella";"C/ Baja Navarra, 7";"Goyache Sainz de Vicuña, Maria del Mar";"F00026";"948 550231"
"304";"05/12/2023";"10";"21";"Huarte / Uharte";"Pamplona y comarca";"C/ Intxaurdia, 5. Centro Comercial Itaroa";"Vallejos Huesa, Maria Josefa";"F00611";"948 357364"
"305";"05/12/2023";"9";"22";"Larraintzar";"Etxarri-Aranatz, Irurtzun, Leitza, Ultzama";"C/ San Pedro, 36";"Aquerreta Ferraz, Jose Antonio";"F00143";"948 305108"
"306";"05/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Tudela, 1. Frente al Corte Inglés";"Lorca Mico, Soledad";"F00160";"948 229912"
"307";"05/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Avda Pío XII, 9";"Muñoz Aramburu, Miren Arantza";"F00141";"948 252895"
"308";"05/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Ctra. San Sebastián, 1. Hipermercado Eroski";"Valdemoros Erro, Laura";"F00011";"948 303099"
